Name,Style,Brewery,Beer Name (Full),Description,ABV,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,number_of_reviews,City,Country
Munich-Style Lager,Lager - Helles,Thomas Hooker Brewing Company,Thomas Hooker Brewing Company Thomas Hooker Munich Style Lager,"Notes:A true Helles style, our lager is golden in color with a pleasant, malty aroma balanced by a rich, smooth flavor. Using only the finest Bavarian malts and finished with Saaz hops, one sip will make you feel like you're in one of Germany's finest beer gardens.\t",4.8,18,25,34,46,4,42,41,21,2,17,54,8,79,3.804,3.888,3.988,4.052,4.236,125,Bloomfield,USA
Rahr's Blonde,Lager - Helles,Rahr & Sons Brewing Company,Rahr & Sons Brewing Company Rahr's Blonde,"Notes:Rahr's Blonde Lager was the first beer to come out of Rahr & Sons Brewing Company. It is a medium-bodied traditional Munich-style Helles Lager that features a rounded maltiness without being too heavy. And like every proud Texan, it has a good head, is pleasant – but not overly sweet. Have some fun with a blonde today!\t",5.0,18,25,23,15,6,18,18,18,1,14,26,4,40,4.25,3.75,3.5,3.5,3.75,2,Fort Worth,USA
Blonde Lager,Lager - Helles,Rahr & Sons Brewing Company,Rahr & Sons Brewing Company Blonde Lager,Notes:,4.8,18,25,32,28,8,33,34,13,3,6,55,6,85,3.190789,3.519737,3.414474,3.460526,3.572368,76,Fort Worth,USA
Helles Lager,Lager - Helles,Fordham Brewing Company,Fordham Brewing Company Fordham Helles Lager,"Notes:Clean & refreshing, this Bavarian style lager uses four different German grains & three hop varieties to create an intricate flavor profile & a beautiful deep golden color. Helles is brewed in the style of Munich’s everyday drinking beer. Prost!\t",5.4,18,25,26,32,2,34,30,23,1,28,43,4,69,3.384615,3.423077,3.628205,3.602564,3.794872,39,Dover,USA
Hacker-Pschorr Münchner Hell,Lager - Helles,Hacker-Pschorr Bräu GmbH,Hacker-Pschorr Bräu GmbH Hacker-Pschorr Münchner Hell,Notes:,4.9,18,25,29,37,8,36,24,17,1,15,60,4,60,3.670455,3.875,3.852273,3.863636,4.193182,44,München,Germany
Hacker-Pschorr Edelhell,Lager - Helles,Hacker-Pschorr Bräu GmbH,Hacker-Pschorr Bräu GmbH Hacker-Pschorr Edelhell,Notes:,5.5,18,25,43,35,3,48,37,18,3,17,74,10,65,3.414729,3.585271,3.596899,3.608527,3.910853,129,München,Germany
Weltenburger Kloster Barock-Hell,Lager - Helles,Klosterbrauerei Weltenburg,Klosterbrauerei Weltenburg Weltenburger Kloster Barock-Hell,Notes:,5.6,18,25,33,48,10,32,51,55,0,44,51,11,72,3.720339,3.872881,3.898305,3.90678,4.101695,59,Kelheim,Germany
1516 Bavarian Lager,Lager - Helles,Okanagan Spring Brewery,Okanagan Spring Brewery 1516 Bavarian Lager,"Notes:The decree states that only four ingredients can be used when making beer: barley, hops, yeast and water. The result is a lager with a crisp finish and a rich golden colour.\t",5.0,18,25,42,33,3,38,28,9,4,11,50,3,68,3.147059,3.5,3.382353,3.426471,3.617647,34,BC V1T 0C2,Canada
Helles Belles,Lager - Helles,Ninkasi Brewing Company,Ninkasi Brewing Company Helles Belles,Notes:,5.3,18,25,40,25,4,31,19,15,3,11,59,5,50,3.666667,4.0,4.166667,4.0,3.666667,3,Eugene,USA
Hummin' Bird,Lager - Helles,Red Oak Brewery,Red Oak Brewery Hummin' Bird,Notes:From the brewery: Hummin' Bird is a Light Lager or Hell (Helles) similar to those found throughout Bavaria. We use carefully selected Pilsner Malt...then it is delicately hopped with imported Tettnang Noble Hops. Then we add a proprietary lager yeast strain which is not filtered out providing ones daily supply of vitamin B. Hummin' Bird is slow-cold aged for over one month resulting in a lush mouth feel.\t,4.5,18,25,13,27,8,25,15,10,0,10,31,0,41,3.392857,3.5,3.607143,3.5,3.857143,14,Greensboro,NC
Neuschwansteiner,Lager - Helles,Der HirschBrau/Privatbrauerei Höss,Der HirschBrau/Privatbrauerei Höss Neuschwansteiner,Notes:,4.7,18,25,29,35,7,48,50,16,3,12,77,5,88,3.421875,3.401042,3.567708,3.578125,3.78125,96,Sonthofen,Germany
Hoponius Union,Lager - India Pale Lager (IPL),Jack's Abby Brewing,Jack's Abby Brewing Hoponius Union,Notes:This lager harmoniously combines lager yeast fermentation and west coast IPA hops. Our India style Pale Lager is like a traditional IPA but with a twist - it’s fermented cold and aged for extended periods. A blend of classic American hops creates a huge tropical fruit and citrusy hop aroma. A dry finish accentuates the pleasant bitterness and hop profile. Hoponius Union uses locally grown dehulled spelt from MA.65 IBU\t,6.5,30,70,30,25,16,87,35,52,3,56,106,10,54,4.454545,4.136364,4.068182,4.272727,4.340909,22,Framingham,USA
Kiwi Rising - Double IPL,Lager - India Pale Lager (IPL),Jack's Abby Brewing,Jack's Abby Brewing Kiwi Rising,"Notes:This is an intensely hoppy and strong lager that we refer to as a Double India Pale Lager. Over four pounds of hops per BBL of New Zealand hops (Kiwi Hops) were used in progressively larger hop additions throughout the brewing process. Four kettle hop additions, whole leaf hops in the hop back, and multiple dry hop additions infuse an intense floral and citrusy aroma. No kiwifruit or kiwi birds were used in the production of this beer.",8.5,30,70,15,45,13,70,57,66,2,120,88,5,25,4.392857,4.071429,4.107143,4.321429,4.357143,14,Framingham,USA
Fathom IPL,Lager - India Pale Lager (IPL),Ballast Point Brewing Company,Ballast Point Brewing Company Fathom India Pale Lager,Notes:,7.0,30,70,16,40,15,62,34,55,1,72,75,5,45,3.961538,3.980769,3.923077,3.980769,4.038462,26,Pete A’Hearn,Jack White
Gulo Gulo I.P.L,Lager - India Pale Lager (IPL),Wolverine State Brewing Company,Wolverine State Brewing Company Gulo Gulo Lager,"Notes:This ground-breaking style combines the essential ingredients and hopping methods used to create a world-class I.P.A. Then using our expert lagering techniques and house lager yeast we created an instant favorite among the existing and steadily growing number of “hop-heads” and craft “lager-heads” in the beer world today. Gulo Gulo I.P.L. is hopped with Cascade, Chinook, Columbus, Warrior and Pilgrim hops. It is dry-hopped once in the fermenter and then a second time with whole-cone Cascade hops before packaging.\t",7.1,30,70,26,28,16,75,39,45,1,59,124,3,55,4.0,3.75,3.75,4.0,4.0,2,Ann Arbor,USA
Sapporo Original Draft Beer,Lager - Japanese Rice,Sapporo Breweries Ltd.,Sapporo Breweries Ltd. Sapporo Original Draft Beer,Notes:,5.0,6,18,31,30,9,18,18,13,0,16,23,0,45,2.75,3.01,2.985,2.91,3.095,100,Hokkaido,Japan
Orion Premium Draft Beer,Lager - Japanese Rice,"Orion Beer Co., Ltd.","Orion Beer Co., Ltd. Orion Premium Draft Beer","Notes:With an even more refreshing taste, a new draft beer was born in the summer of 2015, the same year draft beer celebrated its 55th birthday. The backdrop to the primary color designs, a tradition in draft beer, is a cool, crisp color of champagne gold. The three stars and our logo proudly stand out, and the champagne gold color expresses the fine quality and refreshing sense of beer. The design incorporates the “red sun”, “blue skies”, and “navy blue seas” of Okinawa in the color scheme.\t",4.7,6,18,38,32,6,28,28,10,2,14,42,4,74,2.593333,2.893333,2.9,2.893333,3.226667,75,Ocean Holdings Co.,Ltd.
Kirin Lager,Lager - Japanese Rice,"Kirin Brewery Company, Limited","Kirin Brewery Company, Limited Kirin Lager",Notes:,4.9,6,18,23,24,5,14,11,4,2,5,20,1,48,2.134921,2.52381,2.420635,2.142857,2.5,63,Limited,MORE
Beerlao Lager,Lager - Japanese Rice,Lao Brewery Co.,Lao Brewery Co. Beerlao Lager,Notes:Beerlao is brewed from the best local rice and overseas high quality malt giving it a unique taste. Beerlao was launched in 1973 and has become the best selling and leading brand in Laos. It was also awarded gold medals by various international competitions. Beerlao is one of the most successful exports and is currently available in 13 countries worldwide.\t,5.0,6,18,19,22,2,25,28,8,1,7,39,3,73,2.815068,3.082192,2.952055,2.890411,3.089041,73,Vientiane,Laos
Sapporo Draft Beer,Lager - Japanese Rice,Sapporo Breweries Ltd.,Sapporo Breweries Ltd. Sapporo Draft Beer,Notes:,5.0,6,18,31,22,3,25,18,4,0,7,29,4,44,2.647287,2.96124,2.965116,2.841085,3.151163,129,Hokkaido,Japan
Kirin Classic Lager,Lager - Japanese Rice,"Kirin Brewery Company, Limited","Kirin Brewery Company, Limited Kirin Classic Lager",Notes:,4.5,6,18,4,9,2,11,7,4,1,2,15,1,21,2.611111,3.111111,2.722222,2.722222,2.777778,9,Limited,MORE
Sapporo Fuyumonogatari - The Winter's Tale,Lager - Japanese Rice,Sapporo Breweries Ltd.,Sapporo Breweries Ltd. Sapporo Fuyumonogatari - The Winter's Tale,Notes:,5.5,6,18,12,13,3,8,10,5,0,5,14,3,25,2.4375,2.8125,2.5,2.5625,2.625,8,Hokkaido,Japan
Zhujiang Beer,Lager - Japanese Rice,Guangzhou Zhujiang Brewery Co. Ltd.,Guangzhou Zhujiang Brewery Co. Ltd. Zhujiang Beer,Notes:,4.3,6,18,6,9,3,6,6,5,0,3,9,0,23,2.285714,2.357143,1.928571,2.214286,2.357143,7,Ltd.,MORE
Kirin Bar Beer,Lager - Japanese Rice,"Kirin Brewery Company, Limited","Kirin Brewery Company, Limited Kirin Bar Beer",Notes:,4.5,6,18,1,0,0,1,2,1,0,0,1,1,2,2.125,2.75,2.375,2.25,2.875,4,Limited,MORE
Kirin Premium Draft Beer,Lager - Japanese Rice,"Kirin Brewery Company, Limited","Kirin Brewery Company, Limited Kirin Premium Draft Beer",Notes:,5.05,6,18,0,0,0,0,0,0,0,0,0,0,0,3.0,3.25,3.25,2.75,3.25,2,Limited,MORE
Kirin Ichiban Maribana,Lager - Japanese Rice,"Kirin Brewery Company, Limited","Kirin Brewery Company, Limited Kirin Ichiban Maribana",Notes:,5.5,6,18,1,4,1,4,2,0,0,0,5,0,4,3.333333,3.666667,3.333333,3.5,4.166667,3,Limited,MORE
Kirin Brau Meister,Lager - Japanese Rice,"Kirin Brewery Company, Limited","Kirin Brewery Company, Limited Kirin Brau Meister",Notes:,5.5,6,18,7,19,2,17,8,3,0,3,21,2,18,3.75,3.75,3.666667,3.75,4.0,6,Limited,MORE
Mönchshof Kellerbier,Lager - Kellerbier / Zwickelbier,Kulmbacher Brauerei AG,Kulmbacher Brauerei AG Mönchshof Kellerbier (Kellerbräu),Notes:,5.4,20,40,20,34,10,31,59,26,0,30,59,8,96,3.694656,3.916031,3.854962,3.870229,4.072519,131,Kulmbach,Germany
Hacker-Pschorr Munchner Kellerbier (Anno 1417),Lager - Kellerbier / Zwickelbier,Hacker-Pschorr Bräu GmbH,Hacker-Pschorr Bräu GmbH Hacker-Pschorr Anno 1417,Notes:,5.5,20,40,21,55,2,36,53,63,0,60,57,19,95,3.688406,3.884058,3.826087,3.826087,4.101449,69,München,Germany
Creemore Springs Kellerbier,Lager - Kellerbier / Zwickelbier,Creemore Springs Brewery Limited,Creemore Springs Brewery Limited Creemore Springs Kellerbier,"Notes:Kellerbier is an unfiltered, medieval German beer known for its naturally cloudy appearance. Served straight from the brewmaster’s cellar, it was a true honour for special guests visiting a brewery to be offered a taste. These days we happily make it available to one and all. Our Kellerbier is wonderfully aromatic with a hint of citrus and spice imparted by German whole leaf hops. Not too many breweries make Kellerbier, but then, we've always done things a little differently.30 IBU\t",5.0,20,40,24,42,9,49,45,48,0,44,78,15,62,3.822368,3.927632,3.861842,3.914474,4.078947,76,ON L0M 1G0,Canada
Moosbacher Kellerbier,Lager - Kellerbier / Zwickelbier,Private Landbrauerei Scheuerer,Private Landbrauerei Scheuerer Moosbacher Kellerbier,Notes:,5.2,20,40,15,34,12,26,68,19,1,27,32,9,121,3.429245,3.495283,3.462264,3.54717,3.726415,106,Moosbach,Germany
Zeppelin Bier,Lager - Kellerbier / Zwickelbier,Brauerei Max Leibinger GmbH,Brauerei Max Leibinger GmbH Zeppelin Bier,"Notes:Our Zeppelin Beer is a so-called ""Kellerbier"". The name ""Kellerbier"" has historical roots, dating back to the time when beer was still served directly from the cellar. It is an unfiltered, naturally cloudy beer with a low carbon dioxide content, and it contains all of the natural sediment. As a result, Kellerbier is rich in valuable nutrients such as yeast, protein, minerals and vitamins.Following the old family tradition, Zeppelin beer is brewed in accordance with the German Purity Law of 1516. As with all of our beers, we use the world-famous Tettnanger aromatic hops, high-quality barley grown in upper Swabia and pure water from the uplands of the Alps. We give the dark amber Zeppelin beer seven weeks to quietly mature. The result is a fully flavoured, mildly malty Kellerbier of the highest quality and goodness with an alcohol content of 5.2 percent. It’s a beer which is almost unrivaled in taste, thanks to its extremely delicately spiced, original flavor.\t",5.2,20,40,13,52,18,36,71,21,0,32,52,9,117,3.368421,3.736842,3.763158,3.526316,3.684211,19,Ravensburg,Germany
Beersel Lager,Lager - Kellerbier / Zwickelbier,Brouwerij Drie Fonteinen,Brouwerij Drie Fonteinen Beersel Lager,Notes:,5.2,20,40,35,57,14,77,75,80,9,90,115,12,114,3.954545,4.106061,4.106061,4.030303,4.242424,33,Beersel,Belgium
Série Signature Kellerbier,Lager - Kellerbier / Zwickelbier,Les Trois Mousquetaires,Les Trois Mousquetaires Série Signature Kellerbier,"Notes:Unfiltered golden lager inspired by the Kellerbiers, or ""cellar beers"", found in the northern Bavarian region of Franconia. This Kellerbier marries a rich malt flavor with an herbal hop character.\t",5.5,20,40,32,73,15,64,58,55,2,50,115,32,103,3.892157,4.127451,3.970588,3.980392,4.127451,51,December 8,2023 (USA)
Arcobräu Zwickl Lager,Lager - Kellerbier / Zwickelbier,Arcobräu Gräfliches Brauhaus,Arcobräu Gräfliches Brauhaus Arcobräu Zwickl Lager,Notes:Also known as Arcobräu Zwicklbier\t,5.2,20,40,36,51,4,34,33,28,5,33,49,8,86,3.782609,3.891304,3.956522,3.934783,4.021739,23,Moos,Germany
Kubelbier,Lager - Kellerbier / Zwickelbier,Brauerei Hofstetten Krammer GmbH & Co. KG,Brauerei Hofstetten Krammer GmbH & Co. KG Kubelbier,Notes:,5.6,20,40,23,67,12,67,57,44,0,46,86,18,108,3.666667,3.871795,3.884615,3.807692,3.935897,39,4113 St. Martin im Mühlkreis,Austria
Fürsten Zwickel,Lager - Kellerbier / Zwickelbier,Fürst Wallerstein Brauhaus,Fürst Wallerstein Brauhaus Fürsten Zwickel,Notes:,4.7,20,40,18,31,7,28,30,31,1,36,46,8,58,3.166667,3.666667,3.583333,3.583333,3.666667,6,Wallerstein,Germany
Mönchsambacher Lager,Lager - Kellerbier / Zwickelbier,Brauerei Zehendner GmbH,Brauerei Zehendner GmbH Mönchsambacher Lager,Notes:,5.5,20,40,35,39,5,53,37,38,1,38,77,20,63,4.230769,4.288462,4.384615,4.384615,4.634615,26,Burgebrach,Germany
Miller Lite,Lager - Light,Miller Brewing Co.,Miller Brewing Co. Miller Lite,Notes:,4.17,8,12,10,9,6,7,6,5,2,4,9,2,15,2.007394,2.349815,2.260166,2.208872,2.758318,1082,Irwindale,USA
Sam Adams LightBoston Beer Company (Samuel Adams),Lager - Light,Boston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams) Sam Adams Light,Notes:,4.0,8,12,17,26,5,20,31,2,3,5,42,5,66,3.229292,3.559424,3.332533,3.390156,3.686074,833,Boston,USA
Keystone LightCoors Brewing Company (Molson-Coors),Lager - Light,Coors Brewing Company,Coors Brewing Company Keystone Light,"Notes:Brewed since 1989, Keystone Light is a triple-filtered American-style light lager. Or as we like to say, it’s the smoothest of smooth. Keystone Light has a clean, crisp taste and smooth finish, making it the beer of choice for those who want to grab life by the ‘Stones. So, what are you waiting for? Stop reading and get grabbing. Looking for something bolder? Pick up Keystone Ice.\t",4.1,8,12,14,15,6,7,8,1,2,1,9,0,22,1.7875,1.915909,2.077273,1.964773,2.585227,440,Irwindale,USA
Tsingtao Beer,Lager - Light,"Tsingtao Brewery Co., Ltd.","Tsingtao Brewery Co., Ltd. Five Star All Malt Beer",Notes:,4.0,8,12,15,16,5,19,14,8,1,12,23,1,30,2.0,2.0,3.0,2.5,2.5,1,Qingdao,China
Miller High Life Light,Lager - Light,Miller Brewing Co.,Miller Brewing Co. Miller High Life Light,Notes:,4.1,8,12,13,16,5,6,7,0,1,0,8,0,18,2.248756,2.701493,2.475124,2.427861,2.893035,201,Irwindale,USA
Milwaukee's Best Light,Lager - Light,Miller Brewing Co.,Miller Brewing Co. Milwaukee's Best Light,Notes:,4.2,8,12,15,13,8,15,12,3,5,1,31,1,49,1.880795,2.155629,2.165563,2.082781,2.629139,151,Irwindale,USA
Miller Genuine Draft 64,Lager - Light,Miller Brewing Co.,Miller Brewing Co. Miller Genuine Draft Light 64,Notes:,3.0,8,12,0,4,3,2,1,0,0,1,2,0,7,2.011848,2.379147,2.154028,2.004739,2.601896,211,Irwindale,USA
Shiner Light Blonde,Lager - Light,Spoetzl Brewery,Spoetzl Brewery Shiner Light Blonde,"Notes:The folks at ""the little brewery"" in Shiner, TX (pop. 2,069), are proud of this refreshing, 99-calorie addition to the Spoetzl family of beers. It's brewed with the same handcrafted, small-batch pride you expect from Shiner, delivering a unique light beer. So when you're looking for a smooth, easy-drinking brew, pick up an ice-cold Shiner Light Blonde. It's light done right. PROSIT!\t",4.2,8,12,18,24,2,22,21,4,3,4,33,2,50,2.5,2.875,2.5,2.375,2.5,4,Shiner,USA
Kirin Light Beer,Lager - Light,"Kirin Brewery Company, Limited","Kirin Brewery Company, Limited Kirin Light Beer",Notes:,3.2,8,12,7,14,3,14,13,7,0,7,17,1,32,2.113208,2.245283,2.160377,2.04717,2.254717,53,Limited,MORE
Shiner Light,Lager - Light,Spoetzl Brewery,Spoetzl Brewery Shiner Light,Notes:,4.0,8,12,24,29,5,24,33,5,0,5,35,0,60,2.924658,3.356164,3.09589,3.143836,3.520548,73,Shiner,USA
Red Stripe Light,Lager - Light,Desnoes & Geddes Limited,Desnoes & Geddes Limited Red Stripe Light,Notes:,3.6,8,12,25,31,4,22,29,11,0,4,24,1,30,2.465116,2.662791,2.627907,2.755814,3.011628,43,Heineken N.V.,Heineken Sweden AB
Molson Canadian Light,Lager - Light,Molson Coors Canada,Molson Coors Canada Molson Canadian Light,"Notes:Canadian Light maintains the same character as Molson Canadian, which is slowly fermented to provide a light beer.\t",4.0,8,12,22,31,6,22,27,14,0,10,28,4,45,2.489583,2.75,2.770833,2.78125,3.0625,48,Molson Coors,Molson Holdco ULC
Mickey's,Lager - Malt Liquor,Miller Brewing Co.,Miller Brewing Co. Mickey's,Notes:,5.6,10,30,10,22,15,16,28,4,0,5,20,1,58,2.435315,2.772727,2.756993,2.730769,2.998252,286,Irwindale,USA
Olde English 800,Lager - Malt Liquor,Miller Brewing Co.,Miller Brewing Co. Olde English 800,"Notes:There are two variants, a 5.9% ABV and a 7.5% ABV version.Olde English 800 is one of America's leading malt liquor brands. Commonly referred to as ""OE800,"" it offers smooth, rich taste with a slightly fruity aroma that is a favorite among malt liquor drinkers. OE wears the crown because it is the King of Malt Liquors.\t",5.9,10,30,10,24,15,18,30,7,4,3,38,4,79,1.983456,2.542279,2.303309,2.207721,2.455882,272,Irwindale,USA
Molson XXX,Lager - Malt Liquor,Molson Coors Canada,Molson Coors Canada Molson XXX,Notes:Brewed to be our strongest tasting lager using extra malt and hops in the brewhouse and fermented to give a smooth slightly sweet well balanced beer at 7.3% alcohol.\t,7.3,10,30,9,29,45,34,34,10,4,1,56,3,79,2.463235,2.946078,2.622549,2.47549,2.610294,204,Molson Coors,Molson Holdco ULC
Magnum,Lager - Malt Liquor,Miller Brewing Co.,Miller Brewing Co. Magnum,Notes:,5.6,10,30,21,31,12,28,41,10,3,7,53,4,95,2.027273,2.545455,2.418182,2.254545,2.290909,55,Irwindale,USA
Olde English 800 High Gravity,Lager - Malt Liquor,Miller Brewing Co.,Miller Brewing Co. Olde English 800 High Gravity,Notes:,8.0,10,30,9,19,32,13,40,12,0,10,16,0,43,2.12766,2.723404,2.37234,2.361702,2.382979,47,Irwindale,USA
Old Monk 10000,Lager - Malt Liquor,Mohan Breweries & Distilleries Ltd,Mohan Breweries & Distilleries Ltd Old Monk 10000,Notes:,8.0,10,30,15,30,22,13,56,29,0,29,19,13,53,2.370968,2.66129,2.548387,2.209677,2.306452,31,Tamil Nadu 600087,India
Region Riot,Lager - Malt Liquor,Three Floyds Brewing Co. & Brewpub,Three Floyds Brewing Co. & Brewpub Region Riot,"Notes:This delightful malt liquor was brewed to celebrate the equally delightful ""Region"" that we brew in. Brewed with a portion of Indiana corn, this is what a malt liquor should be.10 IBU\t",7.1,10,30,7,28,15,20,55,11,1,13,28,1,73,3.375,3.708333,3.75,3.416667,3.625,12,Munster,USA
Molson Brador,Lager - Malt Liquor,Molson Coors Canada,Molson Coors Canada Brador,"Notes:This malt liquor is a robust, full bodied beer with a distinctive aroma and a sweet, smooth taste.\t",6.0,10,30,5,24,8,12,26,10,0,11,14,3,48,2.522727,2.909091,2.795455,2.818182,3.0,22,Molson Coors,Molson Holdco ULC
Axe Head Malt Liquor,Lager - Malt Liquor,Minhas Craft Brewery,Minhas Craft Brewery Axe Head Malt Liquor,Notes:,11.0,10,30,9,33,63,10,79,28,0,36,5,3,51,1.964286,3.035714,2.357143,1.928571,1.821429,14,Monroe,USA
Clear Creek Ice,Lager - Malt Liquor,Minhas Craft Brewery,Minhas Craft Brewery Clear Creek Ice,Notes:,6.2,10,30,6,20,28,2,46,10,0,7,3,0,31,2.175,2.65,2.625,2.425,2.725,20,Monroe,USA
Hofbräu Dunkel,Lager - Munich Dunkel,Hofbräuhaus München,Hofbräuhaus München Hofbräu Dunkel,"Notes:Dark specialties were being made in Bavaria long before the advent of pale specialties. Over the years, Hofbrau Dunkel lost nothing of its popularity. With the rich flavour, it remains a refreshing beverage, suitable for all occasions. A traditional Munich deliciousness.\t",5.5,15,25,14,43,7,38,62,15,1,18,48,6,127,3.563348,3.861991,3.717195,3.769231,3.868778,221,München,Germany
Spaten Dunkel,Lager - Munich Dunkel,Spaten-Franziskaner-Bräu,Spaten-Franziskaner-Bräu Spaten Dunkel,Notes:,5.5,15,25,17,57,9,21,75,23,1,35,24,2,121,3.562092,3.673203,3.640523,3.650327,3.823529,153,München,Germany
Eastside Dark,Lager - Munich Dunkel,"Lakefront Brewery, Inc.","Lakefront Brewery, Inc. Eastside Dark",Notes:,5.52,15,25,11,60,1,44,57,6,0,5,43,11,92,3.464865,3.716216,3.605405,3.678378,3.721622,185,Milwaukee,USA
Penn Dark,Lager - Munich Dunkel,Pennsylvania Brewing Company,Pennsylvania Brewing Company Penn Dark,"Notes:Munich and various roasted malts give it a very malty, rich flavor with a hint of burnt flavor. 100% imported Hallertau hops, moderate bitterness and aroma.\t",5.0,15,25,17,45,11,39,55,5,0,9,38,7,121,3.701646,3.888889,3.8107,3.901235,4.037037,243,Pittsburgh,USA
Dark Cloud,Lager - Munich Dunkel,Mother Earth Brewing,Mother Earth Brewing Dark Cloud,Notes:,5.1,15,25,21,44,7,30,58,8,0,17,29,5,102,3.697802,3.928571,3.917582,3.851648,4.027473,91,Vista,USA
Weltenburger Kloster Barock Dunkel,Lager - Munich Dunkel,Klosterbrauerei Weltenburg,Klosterbrauerei Weltenburg Weltenburger Kloster Barock Dunkel,Notes:,4.7,15,25,13,61,12,24,54,12,0,22,19,9,122,3.715686,3.926471,3.735294,3.852941,3.906863,102,Kelheim,Germany
Flensburger Dunkel,Lager - Munich Dunkel,Flensburger Brauerei GmbH Und Co. KG,Flensburger Brauerei GmbH Und Co. KG Flensburger Dunkel,Notes:,4.8,15,25,22,43,11,44,59,12,0,15,76,25,144,3.654255,3.87234,3.579787,3.739362,3.893617,94,Flensburg,Germany
Pious Monk Dunkel,Lager - Munich Dunkel,Church Brew Works,Church Brew Works Pious Monk Dunkel,Notes:,4.3,15,25,22,55,7,28,91,23,0,48,31,10,121,3.494318,3.590909,3.573864,3.607955,3.732955,88,Pittsburgh,USA
Garten Bräu Munich Dark,Lager - Munich Dunkel,Capital Brewery,Capital Brewery Capital Dark,"Notes:Styled after a traditional European Dunkel lager with dark caramel malt flavor with smooth dry finish. One of our Original Brau beers, Capital Dark is our most award winning beer and still remains an all-time favorite.\t",5.4,15,25,25,60,11,42,53,13,1,19,34,6,123,3.633858,3.834646,3.625984,3.795276,3.956693,127,Middleton,USA
König Ludwig Dunkel,Lager - Munich Dunkel,Kaltenberg International / König Ludwig International GmbH & Co.KG,Kaltenberg International / König Ludwig International GmbH & Co.KG König Ludwig Dunkel,Notes:,5.1,15,25,10,37,1,30,64,10,0,14,20,5,89,3.618421,3.881579,3.644737,3.855263,3.907895,38,Geltendorf,Germany
Red Tape Lager,Lager - Munich Dunkel,Jack's Abby Brewing,Jack's Abby Brewing Red Tape Lager,"Notes:Navigating the labyrinth of brewery licensing and state regulations isn't easy. When we finally got the green light, we also got inspired with the perfect name for our pilot brew. Red Tape Lager has a full malty flavor typical of Bavarian dark lagers. It's brewed with 100% Dark Munich Malt. Additions of Glacier hops for bittering and noble German hops for aroma strike a balance between American and European flavors.25 IBU\t",5.0,15,25,25,51,3,35,75,18,1,22,46,12,131,4.0,4.25,4.0,3.75,3.75,2,Framingham,USA
Schadenfreude,Lager - Munich Dunkel,Surly Brewing Company,Surly Brewing Company Schadenfreude,Notes:,5.0,15,25,19,65,4,43,65,8,0,11,38,12,144,3.625,3.9375,3.953125,3.96875,4.0625,32,Minneapolis,USA
Ettaler Kloster Dunkel,Lager - Munich Dunkel,Klosterbrauerei Ettal / Ettaler Klosterbetriebe GmbH,Klosterbrauerei Ettal / Ettaler Klosterbetriebe GmbH Ettaler Kloster Dunkel,"Notes:Dark beers are the traditional Bavarian beers. Common, mild malt flavor is all in addition to the rich, red-black color. Our dark a pronounced freshness in the on trunk is added, then goes up in a soft roundness. The monastery of darkness is a beer for connoisseurs. It is suitable all year round, but especially it fits to the traditional Bavarian cuisine.\t",5.0,15,25,21,52,8,37,80,19,0,17,38,7,138,3.637755,3.908163,3.913265,3.857143,4.005102,98,Ettal,Germany
Holzar-Bier,Lager - Munich Dunkel,Der HirschBrau/Privatbrauerei Höss,Der HirschBrau/Privatbrauerei Höss Holzar-Bier,Notes:,5.2,15,25,9,31,6,18,61,5,0,10,23,5,82,3.531915,3.675532,3.62234,3.638298,3.824468,94,Sonthofen,Germany
Dunkel Lager,Lager - Munich Dunkel,Sly Fox Brewing Company,Sly Fox Brewing Company Dunkel Lager,Notes:,5.3,15,25,25,49,8,29,81,15,2,18,38,9,132,3.472973,3.644144,3.612613,3.554054,3.806306,111,Pottstown,USA
Winter Lager,Lager - Munich Dunkel,Sprecher Brewing Company,Sprecher Brewing Company Winter Brew,"Notes:Few things accompany long winter nights as well as this Munich-style Dunkel Bock. Savor our brewmaster’s enticing blend of dark roasted and sweet caramel malts. Capped by an oatmeal-colored head, the rich flavors of this Bavarian-style lager make it the perfect selection for long winter nights.Randy's Notes: “Winter brew is a Munich style dunkel bock of much repute among those who know us best. It has won the World Beer Cup, Gold and Bronze medals.”Degrees Plato (Initial Gravity): 14.5PWeeks Aged: 8Year First Brewed: 1986Serving Temperature: 50°Malts: Black Patent, Caramel, Chocolate, PaleHops: Cascade, Chinook, Mt. Hood, Tettnanger\t",5.86,15,25,12,85,19,45,107,19,1,32,42,7,147,3.706522,3.875,3.76087,3.831522,3.847826,92,Glendale,USA
Franconia Dunkel,Lager - Munich Dunkel,Franconia Brewing Company,Franconia Brewing Company Franconia Dunkel,Notes:,4.4,15,25,10,67,1,55,41,4,0,1,24,5,123,3.84375,3.90625,3.71875,3.9375,4.125,16,McKinney,USA
Saranac Lake Effect Lager,Lager - Munich Dunkel,Matt Brewing Company,Matt Brewing Company Saranac Lake Effect Lager,Notes:,5.95,15,25,13,36,7,35,51,12,1,12,34,12,94,3.5,3.766234,3.623377,3.623377,3.707792,77,San Luis Obispo,USA
